setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
baby2,Baby Pac-Man 2 (Alt) [hb],,Alt,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
baby3,Baby Pac-Man 3 (Alt) [hb],,Alt,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
bagman,Bagman,,,no,,,,no,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmans,"Bagman (Stern, Set 1)",,"Stern, Set 1",yes,Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmans2,"Bagman (Stern, Set 2)",,"Stern, Set 2",yes,Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmanj,Bagman (Taito),,Taito,yes,Bagman,,,no,no,1982,Valadon Automation / Taito,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagturbo,"Bagman Turbo (Stern, Set 1, Cheat) [hb]",,"Stern, Set 1, Cheat",yes,Bagman,,,yes,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ballbomb,Balloon Bomber,,,no,,,,no,no,1980,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
atlantis2,Battle of Atlantis,,,no,,,,no,no,1981,Comsoft,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
battles2,Battles (Set 2),,Set 2,yes,Xevious,,,no,no,1982,,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
beastfp,Beastie Feastie (Pac-Man Conversion),,Pac-Man Conversion,no,,,,no,no,1984,Epos Corporation,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
berzerk,Berzerk,,,no,,,,no,no,1980,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkf,"Berzerk (FR, Speech, Rev RC31)",France,"Speech, Rev RC31",yes,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkg,"Berzerk (German Speech, Rev RC31)",,"German Speech, Rev RC31",yes,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkb,Berzerk (Rev RC28),,Rev RC28,yes,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerka,Berzerk (Rev RC31),,Rev RC31,yes,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerks,"Berzerk (Spanish Speech, Rev RC32)",,"Spanish Speech, Rev RC32",yes,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
bigkong,Big Kong,,,no,,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bilyard,Billiard,,,no,,TIAMC1,,no,no,1988,Terminal,Sports,,horizontal,,15kHz,,1,2-way horizontal,,1,
birdiy,Birdiy,,,no,,,,no,no,1983,Mama Top,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
blkhole,Black Hole,,,no,,,,no,no,1981,TDS &amp; MINTS,Shooter - Vertical,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
bwidow,Black Widow,,,no,,,,no,no,1982,Atari,Shooter - Tube,,horizontal,,31kHz,,1,8-way,twin stick,4,
arkblock,"Block (Game Corporation, Set 1) [bl]",,"Game Corporation, Set 1",yes,Arkanoid,,,no,yes,1986,Taito / Game Corporation,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
arkbloc2,"Block (Game Corporation, Set 2) [bl]",,"Game Corporation, Set 2",yes,Arkanoid,,,no,yes,1986,Taito / Game Corporation,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
blockgal,Block Gal,,,no,,Sega System 1,,no,no,1987,Sega,Ball and Paddle,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,spinner,0,
blueshrk,Blue Shark,,,no,,,,no,no,1978,Midway,Shooter - Gallery,,horizontal,,15kHz,,1,,positional,1,
bombjack,Bomb Jack,,,no,,,,no,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
bombjacks01,Bomb Jack (Chinese) [hb],,Chinese,yes,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bmbjckgr,Bomb Jack (Greek) [hb],,Greek,yes,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjred,Bomb Jack (Red) [hb],,Red,yes,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjack2,Bomb Jack (Set 2),,Set 2,yes,Bomb Jack,,,no,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjckb,Bomb Jack [bl],,,yes,Bomb Jack,,,no,yes,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
boothill,Boot Hill,,,no,,,,no,no,1977,Dave Nutting Associates / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
botanic,"Botanic (English, Spanish, Set 1)",,"English, Spanish, Set 1",no,,,,no,no,1983,Itisa,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
botanicf,Botanic (FR),France,,yes,Botanic,,,no,no,1984,Itisa,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
brain,Brain,,,no,,Sega System 1,,no,no,1986,Sega / Coreland,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
brakman,Brakman [hb],,,yes,Pac-Man,,,yes,no,1980,Scott Lawrence,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
breakout,Breakout (TTL),,TTL,no,,,Breakout,no,no,1976,Atari,Ball and Paddle,,vertical (cw),no,15kHz,,2 (alternating),,rotary,0,
bubbles,Bubbles,,,no,,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bubblesp,Bubbles (Prototype),,Prototype,yes,Bubbles,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bubblesr,Bubbles (Solid Red Label),,Solid Red Label,yes,Bubbles,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bullfgt,Bull Fight (315-5056),,315-5056,no,,Sega System 1,,no,no,1984,Sega,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
bnj,Bump 'n' Jump,,,yes,Burning Rubber,,,no,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bnjm,Bump 'n' Jump (Midway),,Midway,yes,Burning Rubber,,,no,no,1982,Data East / Midway,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bnjr,Bump 'n' Jump (Reverse) [hb],,Reverse,yes,Burning Rubber,,,yes,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
btime2,"Burger Time (Data East, Set 2)",,"Data East, Set 2",yes,Burger Time,,,no,no,1982,Data East,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
btime,Burger Time (Set 1),,Set 1,no,,,,no,no,1982,Data East,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
brubber,Burnin' Rubber,,,no,,,,no,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
calipso,Calipso,,,no,,,,no,no,1982,Tago Electronics,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,1,
candory,Candory (Ponpoko with Mario) [bl],,Ponpoko with Mario,yes,Ponpoko,,Mario,no,yes,1982,,Platform - Climb,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
canyon,Canyon Bomber,,,no,,,,no,no,1977,Atari,Shooter - Gallery,,horizontal,,15kHz,,2 (simultaneous),,,1,
capitol,Capitol,,,yes,Pleiades,,,no,no,1981,Universal Video Spiel,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
caractn,Car Action (Set 1),,Set 1,yes,Burning Rubber,,,no,no,1982,,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
caractn2,Car Action (Set 2),,Set 2,yes,Burning Rubber,,,no,no,1982,,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
catacomb,Catacomb,,,no,,,,no,no,1982,MTM Games,Shooter - Vertical,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
caterpil,Caterpillar [hb],,,yes,Pac-Man,,,yes,no,1980,Phi,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
cemescry,Cemescary [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped1,Centipede (Rev 1),,Rev 1,yes,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped2,Centipede (Rev 2),,Rev 2,yes,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped3,Centipede (Rev 3),,Rev 3,yes,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped3,Centipede (Rev 3),,Rev 3,yes,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped,Centipede (Rev 4),,Rev 4,no,,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centipdd,Centipede Dux [hb],,,yes,Centipede,,*pede,yes,no,1989,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
chopliftbl,Choplifter (Bootleg),,,yes,Choplifter,Sega System 1,,no,yes,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
chopliftu,Choplifter (Unprotected),,Unprotected,yes,Choplifter,Sega System 1,,no,no,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
Clean Sweep,Clean Sweep (TTL),,TTL,no,,,,no,no,1974,Ramtek,Maze,,vertical (cw),yes,15kHz,,1,,rotary,0,
clowns,Clowns,,,no,,,,no,no,1978,Midway,Ball and Paddle,,horizontal,,15kHz,,2 (alternating),,positional,0,
ladybugb2,"Coccinelle (Lady Bug, Set 2) [bl]",,"Lady Bug, Set 2",yes,Lady Bug,,,no,yes,1981,Universal,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
colony7,Colony 7 (Set 1),,Set 1,no,,,,no,no,1981,Taito,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,8-way,,3,
colony7a,Colony 7 (Set 2),,Set 2,yes,Colony 7,,,no,no,1981,Taito,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,8-way,,3,
,Computer Space,,,no,,,,no,no,1971,Syzygy Engineering,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
cavenger,Cosmic Avenger,,,no,,,,no,no,1981,Universal,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
cosmo,Cosmo,,,no,,,,no,no,1979,TDS &amp; MINTS,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,2,
crackhea,Crackhead [hb],,,yes,Mappy,,,yes,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
crater,Crater Raider,,,no,,Midway MCR3,,no,no,1984,Bally,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way vertical,tilt,2,
crbaloon,Crazy Balloon,,,no,,,,no,no,1980,Taito,Maze,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
cclimber,Crazy Climber,,,no,,,,no,no,1980,Nichibutsu,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,twin stick,4,
cclimbera,"Crazy Climber (US, Set 2)",USA,Set 2,yes,Crazy Climber,,,no,no,1980,Nichibutsu,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,twin stick,4,
ckong,Crazy Kong (Kyoei),,Kyoei,no,,,Donkey Kong,no,no,1981,Falcon / Kyoei,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongo,Crazy Kong (Orca Bootleg) [bl],,Orca Bootleg,yes,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckonga3,Crazy Kong Part II - 2 [hb],,,no,,,Donkey Kong,yes,no,1981,,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongfix,Crazy Kong Part II (GFX Fix) [hb],,GFX Fix,yes,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2jeu,Crazy Kong Part II (Jeutal) [bl],,Jeutal,yes,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon / Jeutel,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2j,Crazy Kong Part II (JP),Japan,,yes,Crazy Kong,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2,Crazy Kong Part II (Set 1),,Set 1,no,,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckonga2,Crazy Kong Part II (Set 1) [hb],,Set 1,yes,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2a,Crazy Kong Part II (Set 2),,Set 2,yes,Crazy Kong,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckong3a,Crazy Kong Part II (Set 2) [hb],,Set 2,yes,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2b2,Crazy Kong Part II [bl],,,yes,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
crazypac,Crazy Pac [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,Tim Appleton,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
crush2,Crush Roller (Set 2),,Set 2,no,,,,no,no,1981,"Alpha Denshi / Kural Esco Electric, Ltd.",Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
dakkochn,Dakkochan House (MC-8123),World,MC-8123,no,,Sega System 1,,no,no,1987,Sega,Mahjong / Adult,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
dfeveron,Dangun Feveron,World,,no,,CAVE 68000,,no,no,1998,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
,"Dangun Feveron (JP, v980917)",,,no,,,,,,,,,,,,,,,,,,
darkplnt,Dark Planet,,,no,,,,no,no,1982,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
darkplnt,Dark Planet (no BKG),,no BKG,no,,,,no,no,1982,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
defender,Defender (Red Label),,Red Label,no,,,,no,no,1980,Williams,Shooter - Horizontal,,horizontal,,15kHz,,1,2-way vertical,,5,
demoderm,Demolition Derby (MCR-3 Mono Board Version),,MCR-3 Mono Board Version,no,,Midway MCR3,,no,no,1984,Bally / Midway,Racing,,horizontal,,15kHz,,4,2-way horizontal,,2,
devilfsg,Devil Fish (Galaxian Hardware),,Galaxian Hardware,no,,,,no,no,1984,Vision / Artic,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
digdugat1,"Dig Dug (Atari, Rev 1)",,"Atari, Rev 1",yes,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdugat,"Dig Dug (Atari, Rev 2)",,"Atari, Rev 2",yes,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug1,Dig Dug (Rev 1),,Rev 1,yes,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug,Dig Dug (Rev 2),,Rev 2,no,,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digsid,Dig Dug (Sidam),,Sidam,yes,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug2,Dig Dug II (New Ver),,New Ver,no,,,Dig Dug,no,no,1985,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
digdug2o,Dig Dug II (Old Ver),,Old Ver,yes,Dig Dug II,,Dig Dug,no,no,1985,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
dotron,Discs of Tron,,,no,,Midway MCR3,Tron,no,no,1983,Bally / Midway,Sports,,horizontal,,15kHz,,1,8-way,,4,
dotrona,Discs of Tron (Alt.),,Alt.,yes,Discs of Tron,Midway MCR3,,no,no,1983,Bally / Midway,Sports,,horizontal,,15kHz,,1,8-way,,4,
dizzy,Dizzy Ghost- A Reversal of Roles [hb],,,yes,Pac-Man,,,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
ddonpach,DoDonPachi,World,,no,,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,World,Arrange,yes,DoDonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,Japan,,yes,DoDonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,World,,no,,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi (20120212 Arrange Ver. 1.1),,Arrange V1.1,yes,DonPachi,CAVE 68000,DonPachi,yes,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi (JP),Japan,,yes,DonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
domino,Domino Man,,,no,,Midway MCR2,,no,no,1982,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
dominos,Dominos,,,no,,,,no,no,1977,Atari,Maze,,horizontal,,15kHz,,2 (simultaneous),4-way,,0,
dkong2m,Donkey Kong (2 Marios) [hb],,2 Marios,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
kong2600,Donkey Kong (2600 GFX) [hb],,2600 GFX,yes,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
