setname,name,region,version,alternative,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
arkanoiduo,"Arkanoid (US, Older)",USA,Older,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoid,Arkanoid (W),World,,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
armorcar,Armored Car,,,,,,no,no,1981,Stern,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
armorcar2,Armored Car (Set 2),,Set 2,Armored Car,,,no,no,1981,Stern,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
asterock,Asterock (Sidam) [bl],,Sidam,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asterockv,Asterock (Videotron) [bl],,Videotron,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid6,Asteroids (6 Bullet) [hb],,6 Bullet,Asteroids,,,yes,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid1,Asteroids (Rev 1),,Rev 1,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid2,Asteroids (Rev 2),,Rev 2,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid,Asteroids (Rev 4),,,,,Asteroids,,,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,2 (alternating),8-way,,3,
astdelux1,Asteroids Deluxe (Rev 1),,Rev 1,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
astdelux2,Asteroids Deluxe (Rev 2),,Rev 2,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
a.astdeluxe,Asteroids Deluxe (Rev 3),,,,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,2 (alternating),8-way,,3,
astdelux4,Asteroids Deluxe [hb],,,Asteroids Deluxe,,,yes,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
astrians,Astrians (Swarm) [bl],,Swarm,Galaxian,,,no,yes,1980,BGV Ltd.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
astrofl,Astro Flash (Japan),Japan,,,Sega System E,,no,no,1986,Sega,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,2,
astroped,Astropede [hb],,,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
astropd2,Astropede II [hb],,,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
asideral,"Ataque Sideral (Spanish, UniWar S) [bl]",,"Spanish, UniWar S",UniWar S,,,no,yes,1980,Electrogame S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
attackfc,Attack Force,,,,,,no,no,1979,Electronic Games Systems,Shooter - Gallery,,horizontal,,15kHz,,1,2-way horizontal,,1,
avefenix,"Ave Fenix (Electrogame, Spanish, Phoenix) [bl]",,"Electrogame, Spanish, Phoenix",Phoenix,,,no,yes,1980,Video Game,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
avefenixl,"Ave Fenix (Laguna, Spanish, Phoenix) [bl]",,"Laguna, Spanish, Phoenix",Phoenix,,,no,yes,1980,Laguna,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
avefenixrf,"Ave Fenix (Recreativos Franco, Spanish, Phoenix) [bl]",,"Recreativos Franco, Spanish, Phoenix",Phoenix,,,no,yes,1980,Recreativos Franco S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
azurian,Azurian Attack,,,,,,no,no,1982,Rait Electronics Ltd,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
baby2,Baby Pac-Man 2 (Alt) [hb],,Alt,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
baby3,Baby Pac-Man 3 (Alt) [hb],,Alt,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
bagman,Bagman,,,,,,no,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmans,"Bagman (Stern, Set 1)",,"Stern, Set 1",Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmans2,"Bagman (Stern, Set 2)",,"Stern, Set 2",Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagmanj,Bagman (Taito),,Taito,Bagman,,,no,no,1982,Valadon Automation / Taito,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bagturbo,"Bagman Turbo (Stern, Set 1, Cheat) [hb]",,"Stern, Set 1, Cheat",Bagman,,,yes,no,1982,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ballbomb,Balloon Bomber,,,,,,no,no,1980,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
atlantis2,Battle of Atlantis,,,,,,no,no,1981,Comsoft,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
battles2,Battles (Set 2),,Set 2,Xevious,,,no,no,1982,,Shooter - Vertical,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
beastfp,Beastie Feastie (Pac-Man Conversion),,Pac-Man Conversion,,,,no,no,1984,Epos Corporation,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
berzerk,Berzerk,,,,,,no,no,1980,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkf,"Berzerk (FR, Speech, Rev RC31)",France,"Speech, Rev RC31",Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkg,"Berzerk (German Speech, Rev RC31)",,"German Speech, Rev RC31",Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerkb,Berzerk (Rev RC28),,Rev RC28,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerka,Berzerk (Rev RC31),,Rev RC31,Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
berzerks,"Berzerk (Spanish Speech, Rev RC32)",,"Spanish Speech, Rev RC32",Berzerk,,,no,no,1980,Stern,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,1,
bigkong,Big Kong,,,,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
bilyard,Billiard,,,,TIAMC1,,no,no,1988,Terminal,Sports,,horizontal,,15kHz,,1,2-way horizontal,,1,
birdiy,Birdiy,,,,,,no,no,1983,Mama Top,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
blkhole,Black Hole,,,,,,no,no,1981,TDS &amp; MINTS,Shooter - Vertical,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
bwidow,Black Widow,,,,,,no,no,1982,Atari,Shooter - Tube,,horizontal,,31kHz,,1,8-way,twin stick,4,
arkblock,"Block (Game Corporation, Set 1) [bl]",,"Game Corporation, Set 1",Arkanoid,,,no,yes,1986,Taito / Game Corporation,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
arkbloc2,"Block (Game Corporation, Set 2) [bl]",,"Game Corporation, Set 2",Arkanoid,,,no,yes,1986,Taito / Game Corporation,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
blockgal,Block Gal,,,,Sega System 1,,no,no,1987,Sega,Ball and Paddle,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,spinner,0,
blueshrk,Blue Shark,,,,,,no,no,1978,Midway,Shooter - Gallery,,horizontal,,15kHz,,1,,positional,1,
bombjack,Bomb Jack,,,,,,no,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
bombjacks01,Bomb Jack (Chinese) [hb],,Chinese,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bmbjckgr,Bomb Jack (Greek) [hb],,Greek,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjred,Bomb Jack (Red) [hb],,Red,Bomb Jack,,,yes,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjack2,Bomb Jack (Set 2),,Set 2,Bomb Jack,,,no,no,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bombjckb,Bomb Jack [bl],,,Bomb Jack,,,no,yes,1984,Tehkan,Puzzle - Platform,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
boothill,Boot Hill,,,,,,no,no,1977,Dave Nutting Associates / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,1,
botanic,"Botanic (English, Spanish, Set 1)",,"English, Spanish, Set 1",,,,no,no,1983,Itisa,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
botanicf,Botanic (FR),France,,Botanic,,,no,no,1984,Itisa,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
brain,Brain,,,,Sega System 1,,no,no,1986,Sega / Coreland,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
brakman,Brakman [hb],,,Pac-Man,,,yes,no,1980,Scott Lawrence,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
breakout,Breakout (TTL),,TTL,,,Breakout,no,no,1976,Atari,Ball and Paddle,,vertical (cw),no,15kHz,,2 (alternating),,rotary,0,
bubbles,Bubbles,,,,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bubblesp,Bubbles (Prototype),,Prototype,Bubbles,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bubblesr,Bubbles (Solid Red Label),,Solid Red Label,Bubbles,,,no,no,1982,Williams,Arena,,horizontal,,15kHz,,1,8-way,,0,
bullfgt,Bull Fight (315-5056),,315-5056,,Sega System 1,,no,no,1984,Sega,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
bnj,Bump 'n' Jump,,,Burning Rubber,,,no,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bnjm,Bump 'n' Jump (Midway),,Midway,Burning Rubber,,,no,no,1982,Data East / Midway,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
bnjr,Bump 'n' Jump (Reverse) [hb],,Reverse,Burning Rubber,,,yes,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
btime2,"Burger Time (Data East, Set 2)",,"Data East, Set 2",Burger Time,,,no,no,1982,Data East,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
btime,Burger Time (Set 1),,Set 1,,,,no,no,1982,Data East,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
brubber,Burnin' Rubber,,,,,,no,no,1982,Data East,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
calipso,Calipso,,,,,,no,no,1982,Tago Electronics,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,1,
candory,Candory (Ponpoko with Mario) [bl],,Ponpoko with Mario,Ponpoko,,Mario,no,yes,1982,,Platform - Climb,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,1,
canyon,Canyon Bomber,,,,,,no,no,1977,Atari,Shooter - Gallery,,horizontal,,15kHz,,2 (simultaneous),,,1,
capitol,Capitol,,,Pleiades,,,no,no,1981,Universal Video Spiel,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
caractn,Car Action (Set 1),,Set 1,Burning Rubber,,,no,no,1982,,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
caractn2,Car Action (Set 2),,Set 2,Burning Rubber,,,no,no,1982,,Racing,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
catacomb,Catacomb,,,,,,no,no,1982,MTM Games,Shooter - Vertical,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
caterpil,Caterpillar [hb],,,Pac-Man,,,yes,no,1980,Phi,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
cemescry,Cemescary [hb],,,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped1,Centipede (Rev 1),,Rev 1,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped2,Centipede (Rev 2),,Rev 2,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped3,Centipede (Rev 3),,Rev 3,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped3,Centipede (Rev 3),,Rev 3,Centipede,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centiped,Centipede (Rev 4),,Rev 4,,,*pede,no,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
centipdd,Centipede Dux [hb],,,Centipede,,*pede,yes,no,1989,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
chopliftbl,Choplifter (Bootleg),,,Choplifter,Sega System 1,,no,yes,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
chopliftu,Choplifter (Unprotected),,Unprotected,Choplifter,Sega System 1,,no,no,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
Clean Sweep,Clean Sweep (TTL),,TTL,,,,no,no,1974,Ramtek,Maze,,vertical (cw),yes,15kHz,,1,,rotary,0,
clowns,Clowns,,,,,,no,no,1978,Midway,Ball and Paddle,,horizontal,,15kHz,,2 (alternating),,positional,0,
ladybugb2,"Coccinelle (Lady Bug, Set 2) [bl]",,"Lady Bug, Set 2",Lady Bug,,,no,yes,1981,Universal,Maze,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,0,
colony7,Colony 7 (Set 1),,Set 1,,,,no,no,1981,Taito,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,8-way,,3,
colony7a,Colony 7 (Set 2),,Set 2,Colony 7,,,no,no,1981,Taito,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,8-way,,3,
,Computer Space,,,,,,no,no,1971,Syzygy Engineering,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
cavenger,Cosmic Avenger,,,,,,no,no,1981,Universal,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),8-way,,2,
cosmo,Cosmo,,,,,,no,no,1979,TDS &amp; MINTS,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,2,
crackhea,Crackhead [hb],,,Mappy,,,yes,no,1980,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
crater,Crater Raider,,,,Midway MCR3,,no,no,1984,Bally,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way vertical,tilt,2,
crbaloon,Crazy Balloon,,,,,,no,no,1980,Taito,Maze,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
cclimber,Crazy Climber,,,,,,no,no,1980,Nichibutsu,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,twin stick,4,
cclimbera,"Crazy Climber (US, Set 2)",USA,Set 2,Crazy Climber,,,no,no,1980,Nichibutsu,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,twin stick,4,
ckong,Crazy Kong (Kyoei),,Kyoei,,,Donkey Kong,no,no,1981,Falcon / Kyoei,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongo,Crazy Kong (Orca Bootleg) [bl],,Orca Bootleg,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckonga3,Crazy Kong Part II - 2 [hb],,,,,Donkey Kong,yes,no,1981,,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongfix,Crazy Kong Part II (GFX Fix) [hb],,GFX Fix,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2jeu,Crazy Kong Part II (Jeutal) [bl],,Jeutal,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon / Jeutel,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2j,Crazy Kong Part II (JP),Japan,,Crazy Kong,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2,Crazy Kong Part II (Set 1),,Set 1,,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckonga2,Crazy Kong Part II (Set 1) [hb],,Set 1,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2a,Crazy Kong Part II (Set 2),,Set 2,Crazy Kong,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckong3a,Crazy Kong Part II (Set 2) [hb],,Set 2,Crazy Kong,,Donkey Kong,yes,no,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
ckongpt2b2,Crazy Kong Part II [bl],,,Crazy Kong,,Donkey Kong,no,yes,1981,Falcon,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
crazypac,Crazy Pac [hb],,,Pac-Man,,Pac-Man,yes,no,1980,Tim Appleton,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
crush2,Crush Roller (Set 2),,Set 2,,,,no,no,1981,"Alpha Denshi / Kural Esco Electric, Ltd.",Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
dakkochn,Dakkochan House (MC-8123),World,MC-8123,,Sega System 1,,no,no,1987,Sega,Mahjong / Adult,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
dfeveron,Dangun Feveron,World,,,CAVE 68000,,no,no,1998,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
,"Dangun Feveron (JP, v980917)",,,,,,,,,,,,,,,,,,,,
darkplnt,Dark Planet,,,,,,no,no,1982,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
darkplnt,Dark Planet (no BKG),,no BKG,,,,no,no,1982,Stern,Shooter - Multidirectional,,horizontal,,15kHz,,1,2-way horizontal,,2,
defender,Defender (Red Label),,Red Label,,,,no,no,1980,Williams,Shooter - Horizontal,,horizontal,,15kHz,,1,2-way vertical,,5,
demoderm,Demolition Derby (MCR-3 Mono Board Version),,MCR-3 Mono Board Version,,Midway MCR3,,no,no,1984,Bally / Midway,Racing,,horizontal,,15kHz,,4,2-way horizontal,,2,
devilfsg,Devil Fish (Galaxian Hardware),,Galaxian Hardware,,,,no,no,1984,Vision / Artic,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
digdugat1,"Dig Dug (Atari, Rev 1)",,"Atari, Rev 1",Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdugat,"Dig Dug (Atari, Rev 2)",,"Atari, Rev 2",Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug1,Dig Dug (Rev 1),,Rev 1,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug,Dig Dug (Rev 2),,Rev 2,,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digsid,Dig Dug (Sidam),,Sidam,Dig Dug,,Dig Dug,no,no,1982,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
digdug2,Dig Dug II (New Ver),,New Ver,,,Dig Dug,no,no,1985,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
digdug2o,Dig Dug II (Old Ver),,Old Ver,Dig Dug II,,Dig Dug,no,no,1985,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
dotron,Discs of Tron,,,,Midway MCR3,Tron,no,no,1983,Bally / Midway,Sports,,horizontal,,15kHz,,1,8-way,,4,
dotrona,Discs of Tron (Alt.),,Alt.,Discs of Tron,Midway MCR3,,no,no,1983,Bally / Midway,Sports,,horizontal,,15kHz,,1,8-way,,4,
dizzy,Dizzy Ghost- A Reversal of Roles [hb],,,Pac-Man,,,yes,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
ddonpach,DoDonPachi,World,,,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,World,Arrange,DoDonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,Japan,,DoDonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi,World,,,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi (20120212 Arrange Ver. 1.1),,Arrange V1.1,DonPachi,CAVE 68000,DonPachi,yes,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
ddonpach,DoDonPachi (JP),Japan,,DonPachi,CAVE 68000,DonPachi,no,no,1997,CAVE,Shooter - Vertical,,vertical (ccw),yes,15kHz,,2 (simultaneous),8-way,,3,
domino,Domino Man,,,,Midway MCR2,,no,no,1982,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
dominos,Dominos,,,,,,no,no,1977,Atari,Maze,,horizontal,,15kHz,,2 (simultaneous),4-way,,0,
dkong2m,Donkey Kong (2 Marios) [hb],,2 Marios,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
kong2600,Donkey Kong (2600 GFX) [hb],,2600 GFX,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongbcc,Donkey Kong (Barrel Control Coloring) [hb],,Barrel Control Coloring,Donkey Kong,,Donkey Kong,yes,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkonghrd,Donkey Kong (Hard),,Hard,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongj,"Donkey Kong (JP, Set 1)",Japan,Set 1,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
dkongjo,"Donkey Kong (JP, Set 2)",Japan,Set 2,Donkey Kong,,Donkey Kong,no,no,1981,Nintendo,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
